EventId,Type,Severity,StartTime(UTC),EndTime(UTC),Precipitation(in),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-3819118,Fog,Moderate,2016-01-19 17:47:00+00:00,2016-01-19 19:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819119,Rain,Light,2016-01-20 06:11:00+00:00,2016-01-20 06:47:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819120,Fog,Severe,2016-01-20 07:12:00+00:00,2016-01-20 07:28:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819121,Rain,Light,2016-01-20 07:28:00+00:00,2016-01-20 08:20:00+00:00,0.03,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819122,Fog,Severe,2016-01-20 09:47:00+00:00,2016-01-20 10:16:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819123,Rain,Light,2016-01-20 10:16:00+00:00,2016-01-20 10:37:00+00:00,0.02,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819124,Fog,Moderate,2016-01-20 16:47:00+00:00,2016-01-20 17:13:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819125,Fog,Moderate,2016-01-20 17:47:00+00:00,2016-01-20 18:36:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819126,Fog,Severe,2016-01-21 06:07:00+00:00,2016-01-21 13:07:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
W-3819127,Fog,Severe,2016-01-21 13:10:00+00:00,2016-01-21 13:26:00+00:00,0.0,US/Pacific,KCQT,34.0235,-118.2912,Los Angeles,Los Angeles,CA,90007
